Name,Role,BasePrice,Rating
Bhuvneshwar Kumar ,Bowler ,15000000,88
T. Natarajan ,Bowler ,5000000,78
Priyam  Garg ,Batsman ,7500000,81
Rahul Tripathi ,Batsman ,2000000,61
Abhishek Sharma ,All-Rounder ,2000000,69
Jagadeesha Suchith ,Bowler ,20000000,91
Aiden Markram ,Batsman ,10000000,84
Romario Shepherd ,All-Rounder ,2000000,63
Glenn Phillips ,Wicket Keeper ,10000000,85
Fazalhaq Farooqi ,Bowler ,7500000,81
Sean Abbott ,Bowler ,10000000,89
R Samarth ,Batsman ,2000000,69
Shashank Singh ,All-Rounder ,7500000,76
Saurabh Dubey ,Bowler ,5000000,79
Dwayne Bravo,All-Rounder,20000000,90
Ambati Rayudu,Wicket Keeper,20000000,97
Harbhajan Singh,Bowler,2000000,60
Mark Wood,Bowler,10000000,80
Imran Tahir,Bowler,3000000,66
Mitchell Santner,All-Rounder,20000000,90
Lungisani Ngidi,Bowler,2000000,67
Asif K M,Bowler,15000000,87
N Jagadeesan,Wicket Keeper,20000000,95
Kanishk Seth,All-Rounder,10000000,82
Monu Singh,Bowler,10000000,89
Dhruv Shorey,All-Rounder,3000000,64
Kshitiz Sharma,All-Rounder,2000000,68
Chaitanya Bishnoi,All-Rounder,7500000,80
Kagiso Rabada,Bowler,10000000,89
Gautam Gambhir,Batsman,2000000,63
Avesh Khan,Bowler,2000000,66
Abhishek Sharma,All-Rounder,20000000,99
Manjot Kalra,Batsman,15000000,87
Sandeep Lamichhane,Bowler,5000000,75
Sayan Ghosh,Bowler,2000000,60
Ravichandran Ashwin,All-Rounder,15000000,90
Mujeeb Zadran,Bowler,5000000,73
Christopher Gayle,Batsman,10000000,85
Ben Dwarshuis,Bowler,15000000,88
Manzoor Dar,All-Rounder,2000000,67
Mayank Dagar,All-Rounder,3000000,68
Kamlesh Nagarkoti,All-Rounder,10000000,82
Shubman Gill,Batsman,2000000,63
Rinku Singh,Batsman,2000000,62
Cameron Delport,All-Rounder,7500000,78
Javon Searless,All-Rounder,2000000,69
Ishank Jaggi,Batsman,15000000,87
Kieron Pollard,All-Rounder,7500000,81
Evin Lewis,Batsman,2000000,60
Jason Behrendorff,Bowler,15000000,91
Akila Dhananjaya,Bowler,15000000,87
Nidheesh M D Dinesan,Bowler,7500000,82
Mayank Markande,Bowler,20000000,93
Sharad Lumba ,Batsman,15000000,91
Anukul Roy,All-Rounder,3000000,67
Benjamin Stokes,All-Rounder,3000000,63
Jofra Archer,All-Rounder,3000000,67
Ajinkya Rahane,Batsman,20000000,91
Darcy Short,All-Rounder,3000000,66
Zahir Khan Pakteen,Bowler,15000000,90
Dushmantha Chameera,Bowler,20000000,93
Aryaman Vikram Birla,All-Rounder,5000000,70
Midhun S,All-Rounder,7500000,78
Prashant Chopra,Wicket Keeper,15000000,85
Jatin Saxena,All-Rounder,3000000,63
M.S. Washington Sundar,All-Rounder,7500000,77
Navdeep Saini,Bowler,2000000,60
Mohammed Siraj,Bowler,2000000,66
Colin De Grandhomme,All-Rounder,20000000,95
Mandeep Singh,All-Rounder,20000000,98
Kulwant Khejroliya,Bowler,20000000,99
Aniket Choudhary,Bowler,3000000,62
Rashid Khan Arman,Bowler,5000000,70
Shikhar Dhawan,Batsman,7500000,79
Shreevats Goswami,Wicket Keeper,20000000,97
Mohammad Nabi,All-Rounder,5000000,72
Basil Thampi,Bowler,2000000,64
Billy Stanlake,Batsman,15000000,94
T Natarajan,Bowler,2000000,63
Bipul Sharma,All-Rounder,7500000,80
Syed Mehdi Hasan,All-Rounder,2000000,64
Tanmay Agarwal,Batsman,2000000,61
Ankeet Bawane,Batsman,5000000,72
Munaf Patel,Bowler,2000000,60
Shubam Agrawal,All-Rounder,10000000,80
Tejas Singh Baroka,Bowler,7500000,78
Chirag Suri,Batsman,2000000,63
Pratham Singh,All-Rounder,20000000,95
Shelley Shaurya,Bowler,5000000,72
Darren Bravo,Batsman,20000000,96
Rovman Powell,All-Rounder,10000000,88
R. Sanjay Yadav,All-Rounder,20000000,97
Asela Gunarathna,Batsman,7500000,84
Saurabh Kumar,Bowler,3000000,65
Milind Tandon,All-Rounder,10000000,82
Rahul Ajay Tripathi,All-Rounder,20000000,90
Tymal Mills,Bowler,7500000,79
Bhagath Varma ,All-Rounder ,10000000,89
Ajay Mandal ,All-Rounder ,10000000,81
Nishant Sindhu ,All-Rounder ,2000000,65
Shaik Rasheed ,Batter ,20000000,97
Ben Stokes ,All-Rounder ,10000000,89
Phil Salt ,Wicket-Keeper ,20000000,96
Ishant Sharma ,Bowler ,3000000,64
Mukesh Kumar ,Bowler ,5000000,72
Shivam Mavi ,Bowler ,15000000,91
Urvil Patel ,Wicket-Keeper ,7500000,84
Mohit Sharma ,Bowler ,15000000,87
Joshua Little ,Bowler ,10000000,86
Kane Williamson ,Batter ,5000000,76
Kulwant Khejroliya ,Bowler ,10000000,83
David Wiese ,All-Rounder ,3000000,68
Litton Das ,Wicket-Keeper ,2000000,66
Suyash Sharma ,Bowler ,3000000,69
Amit Mishra ,Bowler ,3000000,69
Yash Thakur ,Bowler ,7500000,75
Naveen Ul Haq ,Bowler ,10000000,85
Nehal Wadhera ,All-Rounder ,3000000,66
Raghav Goyal ,Bowler ,20000000,97
Cameron Green ,All-Rounder ,10000000,87
Duan Jansen ,All-Rounder ,20000000,90
Shams Mulani ,All-Rounder ,20000000,97
Harpreet Bhatia ,Batter ,3000000,68
Shivam Singh ,All-Rounder ,5000000,70
Vidwath Kaverappa ,Bowler ,3000000,68
Mohit Rathee ,All-Rounder ,15000000,89
Sam Curran ,All-Rounder ,3000000,62
Sikandar Raza ,All-Rounder ,7500000,79
Adam Zampa ,Bowler ,15000000,89
Abdul P A ,All-Rounder ,5000000,72
Akash Vashisht ,All-Rounder ,20000000,96
Donovan Ferreira ,Wicket-Keeper ,15000000,88
Kunal Rathore ,Wicket-Keeper ,5000000,73
Joe Root ,Batter ,3000000,67
Sonu Yadav ,All-Rounder ,20000000,95
Himanshu Sharma ,Bowler ,10000000,87
Avinash Singh ,Bowler ,15000000,89
Manoj Bhandage ,All-Rounder ,5000000,74
Will Jacks ,Batter ,7500000,84
Reece Topley ,Bowler ,15000000,87
Rajan Kumar ,Bowler ,2000000,69
Sanvir Singh ,All-Rounder ,10000000,89
Heinrich Klaasen ,Wicket-Keeper ,10000000,88
Akeal Hosein ,Bowler ,5000000,78
Adil Rashid ,Bowler ,5000000,74
Vivrant Sharma ,All-Rounder ,15000000,89
Samarth Vyas ,All-Rounder ,2000000,60
Upendra Singh Yadav ,Wicket-Keeper ,15000000,92
Nitish Kumar Reddy ,Wicket-Keeper ,15000000,94
Mayank Agarwal ,Batter ,2000000,69
Mayank Dagar ,All-Rounder ,7500000,80
